#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Mnogo je siromaštva i nezaposlenosti.
1-1	0-5	Mnogo	ADV	ADV	_	_	mnogo	_	_	_	ENG30-00059413-b	4	ENG30-00032803-b;ENG30-00059086-b;ENG30-00059413-b;ENG30-00145713-b	*	simple_wsd - ENG30-00059413-b:0.6743::često ili u velikim količinama - ENG30-00032803-b:0.4394::vrlo - ENG30-00059086-b:0.3054::u velikoj meri ili stepenu	
1-2	6-8	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
1-3	9-19	siromaštva	N	NOUN	_	_	siromaštvo	_	_	_	ENG30-14493426-n	3	ENG30-14493145-n;ENG30-14493426-n;ENG30-14493716-n	*	simple_wsd - ENG30-14493426-n:0.9851::stanje krajnjeg siromaštva - ENG30-14493716-n:0.9840::stanje krajnjeg siromaštva ili nemaštine - ENG30-14493145-n:0.9810::Stanje u kome se malo novca i materijalnih dobara.	
1-4	20-21	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
1-5	22-36	nezaposlenosti	N	NOUN	_	_	nezaposlenost	_	_	_	ENG30-13968308-n	1	ENG30-13968308-n	*	simple_wsd - ENG30-13968308-n:0.9607::Stanje biti nezaposlen ili nemati posao.	
1-6	36-37	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Taj bod podelili su na jednake delove vozači koji su imali isti najbrži krug.
2-1	37-40	Taj	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	
2-2	41-44	bod	N	NOUN	_	_	bod	_	_	_	ENG30-13610162-n	2	ENG30-04321238-n;ENG30-13610162-n	*	simple_wsd - ENG30-13610162-n:0.7162::jedinica brojanja pri beleženju rezultata u igri ili takmičenju. - ENG30-04321238-n:0.6220::način na koji se konac uvrće ili prave čvorovi tokom vezenja	
2-3	45-53	podelili	V	VERB	_	_	podeliti	_	_	_	ENG30-02031158-v	7	ENG30-00642098-v;ENG30-01063930-v;ENG30-01563724-v;ENG30-02031158-v;ENG30-02201644-v;ENG30-02255268-v;ENG30-02294436-v	*	simple_wsd - ENG30-02031158-v:0.7607::Učiniti da se nešto podeli ili odvoji. - ENG30-02255268-v:0.5934::dozvoliti kome da šta ima - ENG30-01063930-v:0.5140::Preneti nekome svoj stav ili mišljenje	
2-4	54-56	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
2-5	57-59	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
2-6	60-67	jednake	A	ADJ	_	_	jednak	_	_	_	ENG30-00744506-a	3	CV0138;ENG30-00744506-a;ENG30-01411065-a	*	simple_wsd - ENG30-00744506-a:0.8641::koji nije različit - CV0138:0.5855::koji ima ista prava kao i drugi, ravnopravan - ENG30-01411065-a:0.3466::jednak po količini ili vrednosti	
2-7	68-74	delove	N	NOUN	_	_	deo	_	_	_	ENG30-05867413-n	8	ENG30-01085098-n;ENG30-03892891-n;ENG30-05867413-n;ENG30-05868954-n;ENG30-08548733-n;ENG30-09385911-n;ENG30-13289159-n;ENG30-13809207-n	*	simple_wsd - ENG30-05867413-n:0.8329::Jedan od delova u koje je nešto podeljeno i koji zajedno čine celinu. - ENG30-13809207-n:0.5638::Nešto određeno prema nečem drugom što ga sadrži. - ENG30-09385911-n:0.5441::Deo prirodnog objekta.	
2-8	75-81	vozači	N	NOUN	http://www.wikidata.org/entity/Q352388	ROLE	vozač	_	_	_	ENG30-10034906-n	1	ENG30-10034906-n	*	simple_wsd - ENG30-10034906-n:0.5488::vozač motornog vozila	
2-9	82-86	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
2-10	87-89	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
2-11	90-95	imali	V	VERB	_	_	imati	_	_	_	ENG30-01426397-v	11	ENG30-00065370-v;ENG30-00121046-v;ENG30-01426397-v;ENG30-02047097-v;ENG30-02203362-v;ENG30-02204692-v;ENG30-02205098-v;ENG30-02302220-v;ENG30-02629535-v;ENG30-02704349-v;ENG30-02740745-v	*	simple_wsd - ENG30-01426397-v:0.8552::Imati seksualni odnos sa nekim. - ENG30-02204692-v:0.8460::Biti vlasnik nečega. - ENG30-00121046-v:0.7333::podvrgnuti	
2-12	96-100	isti	A	ADJ	_	_	isti	_	_	_	ENG30-01410606-a	4	ENG30-01410606-a;ENG30-01411065-a;ENG30-02062670-a;ENG30-02068476-a	*	simple_wsd - ENG30-01410606-a:0.7972::ima iste ili slične karakteristike - ENG30-02068476-a:0.5966::isti u identitetu - ENG30-02062670-a:0.5198::slično ili uporedivo prema vrsti ili kvalitetu ili količini ili stepenu	
2-13	101-108	najbrži	A	ADJ	_	_	brz	_	_	_	ENG30-00978754-a	8	ENG30-00032733-a;ENG30-00323873-a;ENG30-00977699-a;ENG30-00978754-a;ENG30-00979697-a;ENG30-00979862-a;ENG30-01562992-a;ENG30-01931676-a	*	simple_wsd - ENG30-00978754-a:0.9053::izvršen sa malo ili bez odlaganja - ENG30-00979862-a:0.8987::karakteriše ga brzina; kreće se ili je sposoban za kretanje velikom brzinom - ENG30-00032733-a:0.8375::onaj koji se brzo i lagano kreće	
2-14	109-113	krug	N	NOUN	_	_	krug	_	_	_	ENG30-00295172-n	7	ENG30-00295172-n;ENG30-00310666-n;ENG30-01234625-v;ENG30-03032811-n;ENG30-05999134-n;ENG30-08240169-n;ENG30-15287830-n	*	simple_wsd - ENG30-00295172-n:0.7931::kretanje jednom oko staze - ENG30-05999134-n:0.7741::Područje znanja ili interesovanja. - ENG30-15287830-n:0.7536::interval u toku koga se ponavlja sekvencija događaja	
2-15	113-114	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Umrla je 1245. godine, još uvek čekajući da joj se sin vrati.
3-1	114-119	Umrla	V	VERB	_	_	umreti	_	_	_	ENG30-02109818-v	3	ENG30-00358431-v;ENG30-00427683-v;ENG30-02109818-v	*	simple_wsd - ENG30-02109818-v:0.9756::patiti ili suočiti se sa bolom smrti - ENG30-00358431-v:0.9595::Napustiti fizički život i izgubiti sve telesne funkcije i atribute koji se neophodni da bi se održao život. - ENG30-00427683-v:-0.0132::izumirati	
3-2	120-122	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
3-3	123-128	1245.	A	ADJ	_	_	1245.	_	_	_	_	_	_	_	_	
3-4	129-135	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15204297-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	*	simple_wsd - ENG30-15204297-n:0.2061::Vremenski period koji zauzima stalni deo kalendarske godine i koristi se za neku određenu aktivnost. - ENG30-15201505-n:0.1531::Vremenski period koji je potreban planeti (npr, Zemlji ili Marsu) da napravi potpunu revoluciju oko Sunca. - ENG30-15203791-n:0.1286::Vremenski period od 365 (ili 366) dana.	
3-5	135-136	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
